Uid,PostId,SnippetId,CloneClassnumber,CloneSize,Similarity,CodeLength,Grunality,A_ownerId,A_length,A_CreateDate,A_Score,A_NoOfBoldTags,A_NoOfCodeSnippets,A_NoOfComments,A_NoOfEditOrRevision,Answerer_ReputationScore,Answerer_Upvotes,Answerer_DownVotes,Answerer_PostedQuestions,Answerer_PostedAnswers,Answerer_NoOfRevision,Answerer_NoOfRevisionInAnswer,A_CodeRatioPercentage,A_LinkTags,A_ItalicTags,A_TotalCodeLength,A_codeRatio
3652,14548919,1,1,13,70,354,Functions,928711,6652,2013-01-27 15:32:41,7,0,4,0,1,42691,1022,179,23,996,1584,1,95.5629,0,0,6375,0.9556
3653,15817873,1,1,13,70,344,Functions,507099,1561,2013-04-04 17:31:54,1,1,3,8,4,12690,226,1,1,401,813,4,74.6488,0,0,1169,0.7465
3654,21048867,1,1,13,70,306,Functions,1507512,1008,2014-01-10 16:03:14,0,0,2,5,4,2029,656,16,69,70,446,4,49.6531,0,0,501,0.4965
3655,20466554,1,1,13,70,278,Functions,3064712,2698,2013-12-09 8:50:10,1,0,2,0,1,26,12,0,12,2,48,1,82.131,0,0,2220,0.8213
3656,31335135,1,1,13,70,341,Functions,1759128,1589,2015-07-10 7:39:47,4,0,2,1,1,27668,371,157,45,682,1857,1,79.4598,0,0,1265,0.7946
3657,33134512,1,1,13,70,380,Functions,4565345,6122,2015-10-14 19:59:14,1,0,6,0,1,150,16,0,26,6,89,1,90.6426,0,0,5628,0.9064
3658,28564226,1,1,13,70,362,Functions,2480345,2696,2015-02-17 14:53:44,1,0,5,0,1,59,22,0,9,2,35,1,78.7978,0,0,2163,0.788
3659,4803096,1,1,13,70,393,Functions,15619,2042,2011-01-26 9:44:07,9,2,5,10,3,17948,1729,22,175,564,1491,2,29.4431,5,0,608,0.2944
3660,48387987,1,1,13,70,395,Functions,5454585,3754,2018-01-22 18:25:50,1,0,2,2,2,2138,1707,44,42,157,477,2,88.7477,1,0,3352,0.8875
3661,17462257,1,1,13,70,449,Functions,1355673,1415,2013-07-04 5:07:55,0,0,4,0,1,78,21,0,3,11,22,1,67.1831,0,0,954,0.6718
3662,36329916,1,1,13,70,273,Functions,992484,3767,2016-03-31 9:51:16,2,0,3,5,1,300909,10979,1441,15,10157,19134,1,78.3562,2,0,2965,0.7836
3663,36329916,1,1,13,70,277,Functions,992484,3767,2016-03-31 9:51:16,2,0,3,5,1,300909,10979,1441,15,10157,19134,1,78.3562,2,0,2965,0.7836
3664,26318653,1,1,13,70,337,Functions,1795530,12386,2014-10-11 19:50:49,11,4,10,4,3,16215,1996,37,17,457,1278,2,64.6076,1,6,8043,0.6461
3665,10575771,1,1,13,70,389,Functions,230513,3503,2012-05-13 22:35:50,4,0,9,2,3,187175,20515,351,11,5255,12512,2,64.7458,5,1,2292,0.6475
3666,26865273,1,1,13,70,347,Functions,2952564,497,2014-11-11 12:46:16,2,0,2,2,1,437,5,1,45,17,173,1,74.5059,0,0,377,0.7451
3667,36329916,1,1,13,70,279,Functions,992484,3767,2016-03-31 9:51:16,2,0,3,5,1,300909,10979,1441,15,10157,19134,1,78.3562,2,0,2965,0.7836
3668,47440521,1,1,13,70,459,Functions,7013317,1148,2017-11-22 17:18:00,2,0,4,0,1,79,8,0,0,6,9,1,62.9437,1,0,727,0.6294
3669,46529677,1,1,13,70,457,Functions,3225260,975,2017-10-02 16:26:04,1,0,2,1,1,1213,68,2,46,74,254,1,69.1207,1,0,676,0.6912
3670,8279716,1,1,13,70,308,Functions,203657,4319,2011-11-26 16:09:52,5,0,2,2,1,44853,5098,6963,36,873,4383,1,71.4945,0,0,3100,0.7149
3671,28422198,1,1,13,70,379,Functions,992484,980,2015-02-10 0:41:50,2,0,6,2,1,300909,10979,1441,15,10157,19134,1,43.9716,0,0,434,0.4397
3672,16188745,1,1,13,70,443,Functions,2095090,986,2013-04-24 9:47:17,1,0,4,2,2,11329,832,290,6,322,606,2,59.334,0,2,588,0.5933
3673,7462988,1,1,13,70,327,Functions,522444,2083,2011-09-18 17:02:58,2,0,2,9,1,261708,19138,44427,6,7289,22497,1,78.9751,0,0,1649,0.7898
3674,7017147,1,1,13,70,308,Functions,522444,4749,2011-08-10 20:13:12,28,0,2,10,3,261708,19138,44427,6,7289,22497,3,65.1891,1,1,3103,0.6519
3675,10570645,1,1,13,70,294,Functions,847064,1123,2012-05-13 9:22:57,3,0,3,3,1,17892,1089,353,56,183,483,1,76.6844,0,0,865,0.7668
3676,35803950,1,1,13,70,388,Functions,5294091,518,2016-03-04 18:57:17,0,0,2,3,1,4210,235,3,14,173,437,1,74.7592,0,0,388,0.7476
3677,29918730,1,1,13,70,497,Functions,3636561,685,2015-04-28 11:53:31,0,1,2,0,1,2075,29,27,5,82,139,1,82.2157,0,0,564,0.8222
3678,6908797,1,1,13,70,483,Functions,833622,2696,2011-08-02 7:48:37,1,2,16,0,1,41184,62,57,23,562,915,1,73.4611,1,0,1993,0.7346
3679,30226158,1,1,13,70,555,Functions,0,8823,2015-05-13 22:19:21,0,5,6,0,2,0,0,0,261014,224615,0,0,95.571,0,0,8653,0.9557
3680,21482395,1,1,13,70,482,Functions,2675569,1508,2014-01-31 14:26:53,1,0,9,2,2,2532,103,23,46,38,441,2,76.1624,0,0,1163,0.7616
3681,40026722,1,1,13,70,356,Functions,6468767,851,2016-10-13 16:48:17,1,1,3,1,1,1821,9,17,6,148,235,1,75.5269,0,0,645,0.7553
3682,31331700,1,1,13,70,437,Functions,4815718,2308,2015-07-10 2:53:34,1,0,4,3,1,26709,249,13,14,737,1284,1,79.1935,0,0,1846,0.7919
3683,28697294,1,1,13,70,463,Functions,3531756,1093,2015-02-24 13:39:08,7,0,5,0,3,3032,221,55,13,51,314,2,72.4044,0,0,795,0.724
3684,16003131,1,1,13,70,375,Functions,1333975,765,2013-04-14 19:06:38,11,0,4,2,1,46282,2569,2272,41,676,2402,1,86.4583,0,0,664,0.8646
3685,27346964,1,1,13,70,384,Functions,3894351,1525,2014-12-07 19:40:30,1,0,3,1,1,8852,528,637,12,446,916,1,74.2561,0,0,1148,0.7426
3686,16636877,1,1,13,70,602,Functions,2218452,2325,2013-05-19 16:29:11,35,2,5,0,7,17147,318,834,86,69,822,5,33.691,1,0,785,0.3369
3687,47759898,1,1,13,70,435,Functions,8924895,1056,2017-12-11 19:21:38,1,0,2,0,1,87,80,0,10,8,43,1,50.8026,0,0,538,0.508
3688,16267086,1,1,13,70,415,Functions,2189222,3348,2013-04-28 19:48:26,1,0,3,11,8,641,28,2,1,34,54,8,91.6741,0,0,3083,0.9167
3689,27281455,1,1,13,70,347,Functions,992484,4231,2014-12-03 20:55:58,2,0,9,1,3,300909,10979,1441,15,10157,19134,3,81.3767,1,0,3452,0.8138
3690,13116623,1,1,13,70,349,Functions,992484,3190,2012-10-29 6:05:04,1,0,2,2,2,300909,10979,1441,15,10157,19134,1,94.1121,1,0,3005,0.9411
3691,24312508,1,1,13,70,291,Functions,2587435,5078,2014-06-19 17:11:35,1,1,30,0,2,151940,9992,929,44,3510,9664,2,38.5235,3,4,1962,0.3852
3692,13676513,1,1,13,70,423,Functions,992484,6113,2012-12-03 2:50:31,3,1,9,1,2,300909,10979,1441,15,10157,19134,2,87.7698,0,0,5368,0.8777
3693,23798583,1,1,13,70,314,Functions,2587435,2999,2014-05-22 5:38:20,2,1,10,6,4,151940,9992,929,44,3510,9664,3,25.6291,7,1,774,0.2563
3694,26006540,1,1,13,70,353,Functions,992484,3186,2014-09-24 0:04:47,1,0,7,2,1,300909,10979,1441,15,10157,19134,1,87.1987,0,0,2786,0.872
3695,26835795,1,1,13,70,334,Functions,992484,2960,2014-11-10 2:22:38,2,0,2,0,1,300909,10979,1441,15,10157,19134,1,69.7417,4,0,2079,0.6974
3696,53608265,1,1,13,70,225,Functions,10739179,798,2018-12-04 8:04:03,1,0,2,0,1,11,0,0,1,1,4,1,53.1915,0,0,425,0.5319
3697,43652164,1,1,13,70,327,Functions,3604083,1640,2017-04-27 8:11:13,1,1,11,0,1,5648,367,37,0,323,602,1,45.2773,0,0,743,0.4528
3698,10770568,1,1,13,70,273,Functions,839646,3544,2012-05-26 23:34:37,4,0,3,3,1,99142,698,57,10,1283,1804,1,91.1756,0,0,3234,0.9118
3699,28149267,1,1,13,70,282,Functions,276052,1596,2015-01-26 11:31:55,10,0,14,0,3,327136,7060,533,132,3051,8540,3,44.4653,0,1,711,0.4447
3700,21899127,1,1,13,70,241,Functions,522444,6309,2014-02-20 5:40:06,5,1,3,9,5,261708,19138,44427,6,7289,22497,5,81.8253,0,0,5191,0.8183
3701,35385123,1,1,13,70,396,Functions,243373,3937,2016-02-13 20:44:56,0,1,7,7,4,12420,5011,333,4,600,4536,4,66.0192,4,0,2617,0.6602
3702,3164724,1,1,13,70,508,Functions,258636,3811,2010-07-02 9:57:46,5,0,2,0,2,481,53,1,0,16,23,2,98.3829,0,0,3772,0.9838
3703,33790828,1,1,13,70,306,Functions,2016436,1372,2015-11-18 21:33:25,1,0,3,2,1,2464,685,40,39,104,290,1,64.9964,1,0,895,0.65
3704,18984065,1,1,13,70,363,Functions,2095090,1346,2013-09-24 14:14:57,3,0,10,0,1,11329,832,290,6,322,606,1,39.0406,0,0,529,0.3904
3705,44528423,1,1,13,70,439,Functions,4350480,1543,2017-06-13 17:56:32,2,0,3,1,1,640,50,37,2,25,45,1,82.1244,0,0,1268,0.8212
3706,33050407,1,1,13,70,330,Functions,481069,1765,2015-10-10 4:48:56,0,1,15,0,1,248,7,0,1,3,6,1,44.5074,0,1,786,0.4451
3707,24441324,1,1,13,70,733,Functions,3625744,1446,2014-06-26 22:37:05,0,0,3,2,1,1275,45,15,4,83,146,1,83.1608,0,0,1205,0.8316
3708,23869122,1,1,13,70,576,Functions,550966,838,2014-05-26 11:31:17,1,0,4,0,1,64292,1254,890,80,590,1520,1,70.5602,0,1,592,0.7056
3709,36422716,1,1,13,70,574,Functions,5561239,599,2016-04-05 9:44:38,1,0,2,3,1,36,0,0,0,4,4,1,95.6811,0,0,576,0.9568
3710,48849066,1,1,13,70,528,Functions,3014546,3556,2018-02-18 6:26:33,2,0,6,6,2,183,110,0,7,16,39,2,88.9762,0,0,3172,0.8898
3711,38249756,1,1,13,70,487,Functions,6170483,610,2016-07-07 15:41:04,0,0,2,1,1,1650,48,2,5,138,205,1,79.8374,0,0,491,0.7984
3712,22313900,1,1,13,70,588,Functions,2668136,937,2014-03-11 0:05:43,2,0,5,2,1,10604,1265,133,10,307,1740,1,78.617,0,0,739,0.7862
3713,41713115,1,1,13,70,656,Functions,7349963,1467,2017-01-18 6:54:33,2,0,3,19,2,432,34,2,4,43,70,2,83.9597,0,0,1251,0.8396
3714,44378556,1,1,13,70,577,Functions,4687709,811,2017-06-05 22:18:09,1,0,2,0,2,632,621,3,1,30,69,2,71.1302,0,0,579,0.7113
3715,35219327,1,1,13,70,562,Functions,4409113,2044,2016-02-05 8:20:52,3,3,21,6,3,10638,1879,523,26,623,1969,3,50.8549,0,0,1041,0.5085
3716,32068049,1,1,13,70,487,Functions,5114910,670,2015-08-18 9:04:40,0,0,3,0,2,193,8,0,2,27,39,2,78.6885,0,0,528,0.7869
3717,25905550,1,1,13,70,576,Functions,3128784,619,2014-09-18 6:20:37,1,0,2,0,1,4014,722,24,12,233,460,1,93.0868,0,0,579,0.9309
3718,39334240,1,1,13,70,824,Functions,6648807,911,2016-09-05 16:06:41,1,0,2,1,1,4696,220,88,1,318,781,1,90.1747,0,0,826,0.9017
3719,28795847,1,1,13,70,549,Functions,764624,1826,2015-03-01 16:16:49,0,0,3,9,2,1947,175,78,5,136,171,2,54.1234,0,0,991,0.5412
3720,21395854,1,1,13,70,506,Functions,1925776,574,2014-01-28 2:40:53,1,0,2,1,1,789,107,14,28,37,174,1,88,0,0,506,0.88
3721,29025750,1,1,13,70,564,Functions,809069,4774,2015-03-13 5:56:22,13,6,16,3,1,2938,338,19,9,67,156,1,79.9547,0,0,3885,0.7995
3722,24222260,1,1,13,70,710,Functions,1007477,2592,2014-06-14 17:02:10,1,0,2,2,3,384,109,3,22,6,81,3,91.7919,0,0,2382,0.9179
3723,43992188,1,1,13,70,547,Functions,828090,721,2017-05-16 3:51:27,2,0,2,5,3,198,46,0,3,14,26,3,87.3961,0,0,631,0.874
3724,47585363,1,1,13,70,420,Functions,4758255,2447,2017-12-01 1:34:51,0,0,5,1,1,15391,4176,45,1,803,3047,1,89.2653,0,1,2187,0.8927
3725,22779224,1,1,13,70,492,Functions,653856,1025,2014-04-01 7:17:11,0,0,7,6,4,118054,2365,3628,8,2942,7621,2,66.2768,0,0,680,0.6628
3726,23101372,1,1,13,70,539,Functions,4332075,651,2014-04-16 6:12:14,1,0,2,3,1,3090,332,74,78,196,511,1,82.6687,0,0,539,0.8267
3727,32154609,1,1,13,70,556,Functions,5216567,769,2015-08-22 9:41:34,1,0,4,1,1,2244,99,13,0,118,170,1,77.2021,0,0,596,0.772
3728,48354896,1,1,13,70,692,Functions,6880611,776,2018-01-20 10:14:53,0,0,2,7,3,2079,330,338,10,117,313,3,90.2188,0,0,701,0.9022
3729,21115894,1,1,13,70,504,Functions,1261266,883,2014-01-14 14:21:59,3,0,7,0,1,21483,118,13,69,230,702,1,69.2568,0,0,615,0.6926
3730,11608378,1,1,13,70,445,Functions,1175327,754,2012-07-23 7:51:31,2,0,2,0,1,5616,228,18,291,12,950,1,59.1568,0,0,449,0.5916
3731,23700288,1,1,13,70,428,Functions,1219199,745,2014-05-16 16:30:03,4,0,4,0,2,17381,266,34,12,369,780,2,62.8,0,0,471,0.628
3732,23795968,1,1,13,70,554,Functions,3290339,1162,2014-05-22 0:28:38,2,0,12,0,4,11299,1969,186,1,256,3275,4,73.8607,0,0,859,0.7386
3733,24439992,1,1,13,70,783,Functions,3625744,2115,2014-06-26 20:50:39,0,0,2,11,2,1275,45,15,4,83,146,2,92.6818,0,0,1963,0.9268
3734,37887286,1,1,13,70,405,Functions,2936153,1085,2016-06-17 17:37:33,4,2,8,0,3,14473,353,1373,0,635,1811,3,49.9079,0,0,542,0.4991
3735,28883118,1,1,13,70,521,Functions,3743963,915,2015-03-05 16:42:58,1,0,8,1,2,1504,158,129,0,56,126,2,74.5098,0,0,684,0.7451
3736,28448282,1,1,13,70,526,Functions,1297670,740,2015-02-11 6:56:32,1,0,2,3,2,2095,221,2,12,100,194,2,90.1484,0,0,668,0.9015
3737,17949733,1,1,13,70,503,Functions,2069587,1396,2013-07-30 14:24:15,2,0,5,15,3,7531,1047,159,8,283,517,3,78.6686,0,0,1099,0.7867
3738,23708673,1,1,13,70,591,Functions,2970351,844,2014-05-17 7:14:48,2,0,2,4,2,12091,783,14,20,56,207,2,69.9408,0,0,591,0.6994
3739,47708685,1,1,13,70,651,Functions,3159267,1988,2017-12-08 6:10:08,1,3,5,2,1,6653,61,15,0,560,725,1,78.9844,0,0,1571,0.7898
3740,37379251,1,1,13,70,472,Functions,5441705,1489,2016-05-22 20:21:25,13,0,6,3,6,1077,19,3,0,42,59,4,65.287,0,0,978,0.6529
3741,36138964,1,1,13,70,389,Functions,3152529,1638,2016-03-21 18:32:20,3,3,5,11,5,8173,244,64,20,338,1077,5,73.6458,0,0,1210,0.7365
3742,33676315,1,1,13,70,455,Functions,2091181,7360,2015-11-12 16:23:22,0,2,9,5,2,16004,1483,1,3,226,296,2,86.5521,1,0,6449,0.8655
3743,30463660,1,1,13,70,450,Functions,4443323,1188,2015-05-26 16:07:01,1,1,4,3,2,13886,1514,26,127,469,1793,2,59.1785,0,0,706,0.5918
3744,17456826,1,1,13,70,380,Functions,1155209,20809,2013-07-03 19:45:11,4,4,3,3,4,111431,4731,571,1,1890,3887,4,87.9833,3,2,18341,0.8798
3745,27100228,1,1,13,70,292,Functions,992484,2401,2014-11-24 8:00:37,0,0,7,2,1,300909,10979,1441,15,10157,19134,1,70.7297,2,0,1706,0.7073
3746,37522594,1,1,13,70,305,Functions,0,586,2016-05-30 9:49:57,1,0,2,2,2,0,0,0,261014,224615,0,0,86.201,0,0,506,0.862
3747,42557855,1,1,13,70,277,Functions,6769218,1078,2017-03-02 14:17:54,-1,0,2,3,2,94,27,0,10,9,45,2,77.0929,0,0,838,0.7709
3748,25491400,1,1,13,70,362,Functions,2587435,2396,2014-08-25 17:39:59,0,0,4,1,1,151940,9992,929,44,3510,9664,1,81.8747,1,0,1974,0.8187
3749,53917359,1,1,13,70,632,Functions,992484,5503,2018-12-24 20:10:58,3,0,7,5,1,300909,10979,1441,15,10157,19134,1,71.9203,2,0,3970,0.7192
3750,31935697,1,1,13,70,632,Functions,992484,8452,2015-08-11 7:28:19,3,0,4,0,1,300909,10979,1441,15,10157,19134,1,81.5637,1,0,6906,0.8156
3751,50639824,1,1,13,70,632,Functions,992484,15906,2018-06-01 9:05:34,1,0,16,0,3,300909,10979,1441,15,10157,19134,3,88.1289,3,0,14031,0.8813
3752,34732257,1,1,13,70,632,Functions,992484,3492,2016-01-11 22:24:01,2,0,2,1,1,300909,10979,1441,15,10157,19134,1,79.5629,2,0,2803,0.7956
3753,43604224,1,1,13,70,639,Functions,992484,5982,2017-04-25 7:26:29,2,0,7,0,2,300909,10979,1441,15,10157,19134,2,68.0738,6,0,4096,0.6807
3754,48620902,1,1,13,70,632,Functions,992484,5381,2018-02-05 10:51:17,1,0,4,0,1,300909,10979,1441,15,10157,19134,1,69.7597,3,0,3774,0.6976
3755,31259057,1,1,13,70,632,Functions,992484,4112,2015-07-07 3:03:30,3,0,9,3,1,300909,10979,1441,15,10157,19134,1,66.7874,3,0,2767,0.6679
3756,33579439,1,1,13,70,631,Functions,992484,11263,2015-11-07 5:22:57,1,0,4,4,1,300909,10979,1441,15,10157,19134,1,91.4351,0,0,10334,0.9144
3757,32448569,1,1,13,70,632,Functions,992484,3267,2015-09-08 2:57:10,2,0,2,0,2,300909,10979,1441,15,10157,19134,2,88.574,2,0,2907,0.8857
3758,49330840,1,1,13,70,632,Functions,992484,4597,2018-03-16 23:29:02,1,0,4,0,1,300909,10979,1441,15,10157,19134,1,78.0017,1,0,3599,0.78
3759,31932127,1,1,13,70,689,Functions,992484,4915,2015-08-11 2:15:40,1,0,7,1,1,300909,10979,1441,15,10157,19134,1,64.5227,4,0,3190,0.6452
3760,31979957,1,1,13,70,632,Functions,992484,11066,2015-08-13 5:13:39,1,0,17,11,5,300909,10979,1441,15,10157,19134,5,81.5844,2,0,9042,0.8158
3761,27726945,1,1,13,70,632,Functions,992484,3011,2014-12-31 22:38:58,2,0,6,0,1,300909,10979,1441,15,10157,19134,1,75.7124,0,0,2285,0.7571
3762,33163542,1,1,13,70,632,Functions,992484,4327,2015-10-16 6:07:24,3,0,3,2,1,300909,10979,1441,15,10157,19134,1,90.8065,1,0,3941,0.9081
3763,27074435,1,1,13,70,744,Functions,992484,2046,2014-11-22 5:31:54,0,0,2,0,1,300909,10979,1441,15,10157,19134,1,77.6207,0,0,1592,0.7762
3764,33965777,1,1,13,70,632,Functions,992484,3043,2015-11-27 23:01:00,4,0,5,1,1,300909,10979,1441,15,10157,19134,1,81.0705,1,0,2484,0.8107
3765,30138422,1,1,13,70,632,Functions,992484,3024,2015-05-09 9:46:45,2,0,10,0,1,300909,10979,1441,15,10157,19134,1,83.4808,0,0,2547,0.8348
3766,35764485,1,1,13,70,632,Functions,992484,5545,2016-03-03 6:10:18,4,0,2,3,1,300909,10979,1441,15,10157,19134,1,91.9755,0,0,5112,0.9198
3767,45052307,1,1,13,70,632,Functions,992484,4023,2017-07-12 8:26:04,1,0,6,2,1,300909,10979,1441,15,10157,19134,1,78.8262,2,0,3183,0.7883
3768,27027119,1,1,13,70,632,Functions,992484,3687,2014-11-19 21:14:50,1,0,7,1,1,300909,10979,1441,15,10157,19134,1,80.2112,0,0,2963,0.8021
3769,50987225,1,1,13,70,632,Functions,992484,6376,2018-06-22 11:45:20,2,0,14,1,3,300909,10979,1441,15,10157,19134,2,77.5168,1,0,4951,0.7752
3770,35403582,1,1,13,70,632,Functions,992484,5132,2016-02-15 7:22:16,2,0,2,0,2,300909,10979,1441,15,10157,19134,2,80.4638,6,0,4164,0.8046
3771,35665116,1,1,13,70,632,Functions,992484,2720,2016-02-27 2:51:22,2,0,3,4,1,300909,10979,1441,15,10157,19134,1,87.8344,0,0,2397,0.8783
3772,28753058,1,1,13,70,632,Functions,992484,6338,2015-02-26 21:26:49,2,0,9,15,3,300909,10979,1441,15,10157,19134,3,69.9984,5,0,4468,0.7
3773,27682530,1,1,13,70,635,Functions,992484,7575,2014-12-29 2:00:03,2,0,3,2,2,300909,10979,1441,15,10157,19134,2,91.2734,0,0,6924,0.9127
3774,30571076,1,1,13,70,632,Functions,992484,2024,2015-06-01 10:24:34,1,0,4,8,1,300909,10979,1441,15,10157,19134,1,86.2764,0,0,1754,0.8628
3775,18158845,1,1,13,70,613,Functions,992484,14927,2013-08-10 5:13:10,7,2,7,9,4,300909,10979,1441,15,10157,19134,4,82.7966,0,0,12393,0.828
3776,24817671,1,1,13,70,632,Functions,992484,3684,2014-07-18 5:15:57,3,0,5,4,2,300909,10979,1441,15,10157,19134,2,82.7689,0,0,3055,0.8277
3777,17101753,1,1,13,70,581,Functions,992484,7056,2013-06-14 5:35:49,1,0,7,16,2,300909,10979,1441,15,10157,19134,2,83.7413,1,0,5918,0.8374
3778,26769443,1,1,13,70,676,Functions,992484,3300,2014-11-05 23:57:59,2,1,9,0,2,300909,10979,1441,15,10157,19134,1,45.4902,2,0,1508,0.4549
3779,34008769,1,1,13,70,582,Functions,992484,2039,2015-11-30 21:57:15,2,0,4,0,1,300909,10979,1441,15,10157,19134,1,76.0194,1,0,1566,0.7602
3780,22749251,1,1,13,70,632,Functions,992484,6357,2014-03-30 20:14:22,3,1,11,2,3,300909,10979,1441,15,10157,19134,3,77.3125,1,0,4948,0.7731
3781,28182590,1,1,13,70,632,Functions,992484,5262,2015-01-28 0:25:29,3,1,16,6,4,300909,10979,1441,15,10157,19134,4,60.8392,4,0,3219,0.6084
3782,34168095,1,1,13,70,632,Functions,992484,2843,2015-12-08 23:30:00,2,0,5,2,2,300909,10979,1441,15,10157,19134,2,68.9909,1,0,1969,0.6899
3783,31932893,1,1,13,70,667,Functions,992484,9545,2015-08-11 3:51:29,1,0,6,14,1,300909,10979,1441,15,10157,19134,1,92.3037,1,0,8839,0.923
3784,20915417,1,1,13,70,632,Functions,992484,4525,2014-01-04 0:53:03,0,0,2,5,1,300909,10979,1441,15,10157,19134,1,97.2501,0,0,4456,0.9725
3785,31173371,1,1,13,70,632,Functions,992484,3446,2015-07-01 23:36:29,13,0,9,2,2,300909,10979,1441,15,10157,19134,2,80.6078,0,0,2785,0.8061
3786,28227285,1,1,13,70,632,Functions,992484,4592,2015-01-30 0:31:46,1,0,11,2,2,300909,10979,1441,15,10157,19134,2,81.8754,0,0,3772,0.8188
3787,22851824,1,1,13,70,632,Functions,992484,2441,2014-04-04 1:16:02,2,0,3,2,1,300909,10979,1441,15,10157,19134,1,81.5811,1,0,2002,0.8158
3788,21071182,1,1,13,70,633,Functions,992484,3237,2014-01-12 4:04:46,0,0,2,0,1,300909,10979,1441,15,10157,19134,1,79.2052,0,0,2571,0.7921
3789,48847604,1,1,13,70,632,Functions,992484,7978,2018-02-18 1:30:45,1,0,19,2,1,300909,10979,1441,15,10157,19134,1,66.1506,3,0,5298,0.6615
3790,36259256,1,1,13,70,632,Functions,992484,6386,2016-03-28 9:13:01,1,0,11,1,1,300909,10979,1441,15,10157,19134,1,90.3261,0,0,5789,0.9033
3791,19870692,1,1,13,70,632,Functions,992484,6390,2013-11-09 0:08:26,1,1,10,14,2,300909,10979,1441,15,10157,19134,2,84.9104,0,0,5447,0.8491
3792,26835795,1,1,13,70,631,Functions,992484,2960,2014-11-10 2:22:38,2,0,2,0,1,300909,10979,1441,15,10157,19134,1,69.7417,4,0,2079,0.6974
3793,52343187,1,1,13,70,632,Functions,992484,9450,2018-09-15 8:49:22,2,0,26,1,2,300909,10979,1441,15,10157,19134,2,62.8647,6,0,5969,0.6286
3794,20578601,1,1,13,70,632,Functions,992484,3748,2013-12-14 1:15:54,9,1,4,9,4,300909,10979,1441,15,10157,19134,3,79.0575,1,0,2986,0.7906
3795,28790124,1,1,13,70,636,Functions,992484,9088,2015-03-01 4:33:27,2,1,11,3,3,300909,10979,1441,15,10157,19134,2,85.0268,1,0,7774,0.8503
3796,31199363,1,1,13,70,632,Functions,992484,4049,2015-07-03 5:47:05,3,0,7,2,4,300909,10979,1441,15,10157,19134,3,70.0985,0,0,2846,0.701
3797,47317051,1,1,13,70,678,Functions,992484,7243,2017-11-15 20:53:52,0,0,3,0,1,300909,10979,1441,15,10157,19134,1,90.7265,0,0,6594,0.9073
3798,42564457,1,1,13,70,632,Functions,992484,4258,2017-03-02 19:39:22,1,0,6,0,1,300909,10979,1441,15,10157,19134,1,72.6699,2,0,3111,0.7267
3799,36591691,1,1,13,70,632,Functions,992484,7876,2016-04-13 7:40:31,2,0,11,0,2,300909,10979,1441,15,10157,19134,2,88.803,1,0,7011,0.888
3800,28844281,1,1,13,70,632,Functions,992484,4880,2015-03-03 23:51:00,2,0,5,7,1,300909,10979,1441,15,10157,19134,1,82.7193,0,0,4064,0.8272
3801,24880642,1,1,13,70,586,Functions,992484,3197,2014-07-22 6:49:27,3,0,8,2,1,300909,10979,1441,15,10157,19134,1,76.7311,0,0,2460,0.7673
3802,20536173,1,1,13,70,692,Functions,992484,3546,2013-12-12 6:03:57,2,1,10,3,2,300909,10979,1441,15,10157,19134,2,77.2561,1,0,2748,0.7726
3803,21841683,1,1,13,70,590,Functions,992484,4206,2014-02-17 23:52:36,1,1,14,11,3,300909,10979,1441,15,10157,19134,3,66.0422,0,0,2785,0.6604
3804,35649628,1,1,13,70,632,Functions,992484,13804,2016-02-26 10:45:36,4,0,11,18,5,300909,10979,1441,15,10157,19134,4,82.4792,5,0,11411,0.8248
3805,27557233,1,1,13,70,632,Functions,992484,2898,2014-12-18 23:04:00,0,0,5,0,1,300909,10979,1441,15,10157,19134,1,85.012,0,0,2473,0.8501
3806,32216596,1,1,13,70,540,Functions,992484,2192,2015-08-26 1:28:33,2,0,11,3,1,300909,10979,1441,15,10157,19134,1,51.7007,1,0,1140,0.517
3807,22874222,1,1,13,70,632,Functions,992484,4118,2014-04-04 22:42:30,2,0,2,0,1,300909,10979,1441,15,10157,19134,1,94.5854,1,0,3913,0.9459
3808,34575136,1,1,13,70,632,Functions,992484,8530,2016-01-03 9:38:36,3,0,7,3,4,300909,10979,1441,15,10157,19134,4,92.5744,1,0,7929,0.9257
3809,32345295,1,1,13,70,632,Functions,992484,3435,2015-09-02 5:33:39,5,0,6,2,2,300909,10979,1441,15,10157,19134,2,88.7861,1,0,3072,0.8879
3810,35193120,1,1,13,70,632,Functions,992484,4738,2016-02-04 5:24:25,1,1,12,0,1,300909,10979,1441,15,10157,19134,1,59.5133,4,0,2837,0.5951
3811,33402157,1,1,13,70,632,Functions,992484,2922,2015-10-28 21:45:23,1,0,3,2,1,300909,10979,1441,15,10157,19134,1,72.2769,3,0,2130,0.7228
3812,25227906,1,1,13,70,632,Functions,992484,2564,2014-08-10 10:59:43,3,0,7,10,1,300909,10979,1441,15,10157,19134,1,77.536,0,0,1995,0.7754
3813,48038721,1,1,13,70,632,Functions,992484,4635,2017-12-30 23:25:09,2,0,5,2,1,300909,10979,1441,15,10157,19134,1,71.8252,1,0,3337,0.7183
3814,25478513,1,1,13,70,632,Functions,992484,3185,2014-08-25 3:08:59,3,0,6,0,1,300909,10979,1441,15,10157,19134,1,84.7744,0,0,2706,0.8477
